Tipo,Descripción,Monto,Fecha,Estado
Transacción Bancaria,Compra sospechosa online,190397.36,2023-01-01,Investigado
Transacción Bancaria,Denuncia de soborno a funcionario público,475603.58,2023-01-02,Sospechoso
Transacción Bancaria,Compra sospechosa online,367337.0,2023-01-03,Sospechoso
Transferencia,Denuncia de soborno a funcionario público,301335.95,2023-01-04,Sospechoso
Transferencia,Transferencia inusual a cuenta desconocida,82229.23,2023-01-05,Sospechoso
Denuncia,Denuncia de malversación de fondos,82217.29,2023-01-06,Validado
Transacción Bancaria,Denuncia de malversación de fondos,33751.39,2023-01-07,Investigado
Transacción Bancaria,Denuncia de malversación de fondos,433757.19,2023-01-08,Validado
Transacción Bancaria,Compra sospechosa online,302551.93,2023-01-09,Investigado
Transacción Bancaria,Transferencia inusual a cuenta desconocida,355495.93,2023-01-10,Sospechoso
Transacción Bancaria,Compra sospechosa online,15189.32,2023-01-11,Validado
Transacción Bancaria,Compra sospechosa online,485105.38,2023-01-12,Validado
Transacción Bancaria,Transferencia inusual a cuenta desconocida,417059.11,2023-01-13,Investigado
Transferencia,Transferencia inusual a cuenta desconocida,110107.86,2023-01-14,Validado
Transacción Bancaria,Transferencia inusual a cuenta desconocida,95003.36,2023-01-15,Investigado
Transacción Bancaria,Transferencia inusual a cuenta desconocida,95785.23,2023-01-16,Investigado
Transacción Bancaria,Denuncia de malversación de fondos,155599.91,2023-01-17,Investigado
Transacción Bancaria,Retiro de gran cantidad en efectivo,264754.43,2023-01-18,Sospechoso
Transacción Bancaria,Retiro de gran cantidad en efectivo,218812.78,2023-01-19,Sospechoso
Transacción Bancaria,Transferencia inusual a cuenta desconocida,149158.42,2023-01-20,Sospechoso
Transferencia,Retiro de gran cantidad en efectivo,307867.18,2023-01-21,Investigado
Transacción Bancaria,Retiro de gran cantidad en efectivo,74049.46,2023-01-22,Sospechoso
Transferencia,Transferencia inusual a cuenta desconocida,149611.6,2023-01-23,Investigado
Denuncia,Retiro de gran cantidad en efectivo,186349.11,2023-01-24,Validado
Transacción Bancaria,Compra sospechosa online,230754.64,2023-01-25,Sospechoso
Transferencia,Denuncia de soborno a funcionario público,393662.1,2023-01-26,Investigado
Transacción Bancaria,Denuncia de soborno a funcionario público,103838.52,2023-01-27,Validado
Transacción Bancaria,Transferencia inusual a cuenta desconocida,259546.05,2023-01-28,Sospechoso
Transacción Bancaria,Denuncia de malversación de fondos,298245.21,2023-01-29,Sospechoso
Transacción Bancaria,Transferencia inusual a cuenta desconocida,27992.95,2023-01-30,Sospechoso
