ID_Proyecto,Organismo_Contratante,Empresa_Constructora,Tipo_Obra,Fecha_Inicio,Fecha_Fin_Estimada,Monto_Contrato,Estado_Obra,Plazo_Ejecucion_Dias,Adjudicacion_Unica,Modificaciones_Contrato,Avance_Obra_Porcentaje,Es_Sospechoso
1,"Cordoba, Romero and Luna",Duarte-Acuña,Edificación,2025-01-12,2025-07-26,9907389.22,En Curso,461,0,4,51.91930499649596,1
2,Herrera-Rodriguez,"Gonzalez, Gomez and Ruiz",Infraestructura,2025-03-08,2025-05-09,5003286.94,Suspendida,577,1,3,94.3412677338247,1
3,Gonzalez-Moreno,Suarez LLC,Edificación,2025-02-01,2025-08-04,9716459.66,Demorada,649,0,4,97.27893083662164,1
4,Gomez and Sons,"Martinez, Ruiz and Barrios",Edificación,2025-01-08,2027-03-02,5057075.05,Suspendida,615,0,4,25.747579220529936,1
5,Ramirez-Sosa,"Guzman, Gonzalez and Medina",Vial,2025-03-26,2025-06-26,8297155.33,Suspendida,578,0,3,61.329944499769205,1
6,Ortiz LLC,Ruiz and Sons,Edificación,2025-02-02,2025-10-07,939773.08,En Curso,281,0,1,77.91672686815869,0
7,Peralta Inc,"Torres, Ruiz and Sosa",Infraestructura,2025-01-04,2026-04-10,5736905.21,En Curso,645,0,0,91.42584124820617,0
8,Gimenez-Juarez,Vera-Godoy,Hidráulica,2025-01-13,2027-02-08,4274231.01,Finalizada,180,0,1,81.98824024820016,0
9,Sanchez-Aguirre,Fernandez-Gimenez,Vial,2025-03-29,2025-05-19,848474.96,Suspendida,344,0,1,65.47799067659626,0
10,Herrera-Ruiz,Rodriguez Inc,Hidráulica,2025-01-06,2025-03-05,2755786.37,Demorada,680,0,3,10.339360844090406,1
11,"Perez, Gonzalez and Correa",Ledesma and Sons,Hidráulica,2025-02-04,2025-11-10,258300.48,Demorada,297,1,1,92.13874573873632,0
12,Ortiz Inc,Juarez-Rojas,Vial,2025-03-07,2027-02-25,8070603.2,Demorada,468,1,3,55.88952704101822,1
13,Morales-Gonzalez,Paez-Gonzalez,Edificación,2025-01-02,2026-09-27,9472190.42,Suspendida,223,1,0,11.942389823842658,0
14,"Gomez, Rodriguez and Lopez","Rodriguez, Toledo and Bravo",Edificación,2025-01-02,2025-07-24,4629881.04,En Curso,663,0,1,49.257023793819535,0
15,"Gonzalez, Vera and Alvarez",Gonzalez Ltd,Infraestructura,2025-01-30,2025-03-07,3078209.98,Finalizada,80,0,2,4.9513736787077605,0
16,Lopez and Sons,Mendoza and Sons,Hidráulica,2025-02-21,2025-11-25,7093712.19,En Curso,72,0,3,13.495302679402933,1
17,"Duarte, Sanchez and Ojeda",Mansilla-Farias,Vial,2025-03-01,2026-07-21,1728110.2,Suspendida,710,1,3,86.99429148432691,1
18,Castro LLC,Benitez-Ruiz,Edificación,2025-01-09,2027-01-26,4225801.06,En Curso,56,1,0,43.99089966319444,0
19,Nuñez-Molina,Gonzalez-Ramos,Vial,2025-02-26,2027-01-17,4789033.38,Suspendida,456,0,1,46.65861762982194,0
20,"Rojas, Martinez and Cordoba","Godoy, Vega and Rojas",Edificación,2025-02-15,2025-10-21,3501686.42,Finalizada,354,1,1,54.18554825804742,0
21,Ruiz LLC,Cardozo-Aguirre,Vial,2025-03-31,2026-04-24,5720575.58,Suspendida,127,1,3,53.76293242603566,1
22,"Alvarez, Velazquez and Gutierrez","Sanchez, Martin and Barrios",Vial,2025-02-15,2026-03-21,2678034.82,Suspendida,584,0,1,42.78542892873648,0
23,Perez Inc,Aguero Inc,Edificación,2025-01-01,2025-07-31,5487241.5,Finalizada,616,0,0,74.40059196266013,0
24,Garcia and Sons,Chavez-Perez,Vial,2025-03-11,2025-09-15,1761894.53,Demorada,673,1,1,46.378799061774465,0
25,Gonzalez-Pereyra,Figueroa and Sons,Infraestructura,2025-02-20,2026-04-17,7587902.41,En Curso,162,0,3,76.34341349184048,1
26,"Rodriguez, Romero and Cardozo","Garcia, Rodriguez and Gonzalez",Vial,2025-01-29,2027-03-03,9352283.71,Finalizada,403,0,0,42.078128091946645,0
27,"Ramirez, Chavez and Morales",Martinez-Cordoba,Infraestructura,2025-01-11,2026-09-12,6076499.14,Demorada,488,0,3,4.5860454099801995,1
28,Guzman LLC,"Rodriguez, Vega and Gomez",Infraestructura,2025-04-04,2026-08-30,6410325.53,En Curso,271,0,4,51.53331688957235,1
29,Soto Ltd,Fernandez Group,Infraestructura,2025-03-21,2025-05-21,7033400.05,Suspendida,647,0,0,7.546543793956973,0
30,Gomez-Fernandez,"Sosa, Pereyra and Quiroga",Hidráulica,2025-03-28,2025-12-26,4237137.55,En Curso,438,1,4,45.29726383871534,1
