ID_Contrato,Organismo_Contratante,Proveedor,Descripcion_Servicio_Bien,Fecha_Firma,Monto_Inicial,Plazo_Inicial_Dias,Estado_Contrato,Monto_Final,Plazo_Final_Dias,Motivo_Mayor_Costo,Numero_Modificaciones,Es_Sospechoso
1,"Lopez, Cabrera and Diaz",Garcia and Sons,software,2025-01-20,27361.49,190,Finalizado,32833,467,Ninguno,1,0
2,Gomez-Juarez,"Maldonado, Navarro and Escobar",instalaciones,2025-03-15,27401.66,269,Rescindido,32881,565,Imprevistos,0,0
3,Villalba-Molina,Duarte-Romero,muebles,2025-01-26,18852.91,239,Prorrogado,22623,32,Cambio_Alcance,1,0
4,Lopez-Romero,Gomez-Romero,muebles,2025-02-05,13512.52,322,Rescindido,16215,304,Ninguno,0,0
5,Ferreyra-Martinez,"Sosa, Ojeda and Gimenez",muebles,2025-03-03,91965.22,207,Prorrogado,110358,447,Cambio_Alcance,1,0
6,Miranda PLC,Blanco and Sons,bien consumo,2025-02-25,43632.22,80,Finalizado,52358,616,Imprevistos,0,0
7,"Romero, Aguero and Fernandez",Campos LLC,software,2025-01-29,11410.46,275,Prorrogado,13692,113,Modificaciones,3,0
8,"Hernandez, Ramirez and Castillo","Soria, Gomez and Martinez",muebles,2025-02-26,58470.73,322,Rescindido,70164,594,Cambio_Alcance,3,1
9,Rodriguez Group,Rios Group,software,2025-03-04,41052.64,211,Prorrogado,49263,143,Cambio_Alcance,3,0
10,Acosta and Sons,Ramirez Inc,software,2025-03-12,43335.94,305,Vigente,52003,596,Modificaciones,1,0
11,Lopez-Mendez,Castillo PLC,instalaciones,2025-02-08,35975.14,82,Prorrogado,43170,157,Imprevistos,2,0
12,Medina-Gimenez,Rojas-Cardozo,muebles,2025-01-04,10484.63,93,Prorrogado,12581,251,Cambio_Alcance,2,0
13,Acosta Inc,Lopez-Rodriguez,bien consumo,2025-03-18,10705.71,354,Rescindido,12846,191,Ninguno,0,0
14,Lopez-Luna,Romero Ltd,instalaciones,2025-01-21,49633.71,232,Finalizado,59560,77,Cambio_Alcance,2,0
15,Gimenez-Maldonado,Cordoba PLC,bien consumo,2025-01-09,78423.43,249,Prorrogado,94108,288,Modificaciones,3,1
16,Mendoza Inc,Sosa and Sons,muebles,2025-03-27,70410.59,164,Finalizado,84492,669,Cambio_Alcance,1,0
17,Flores LLC,Mendoza-Aguirre,software,2025-03-21,13135.31,173,Prorrogado,15762,501,Ninguno,3,0
18,Lucero LLC,Garcia LLC,bien consumo,2025-03-10,74264.27,352,Vigente,89117,619,Modificaciones,2,0
19,Garcia Inc,"Sanchez, Sanchez and Velazquez",bien consumo,2025-03-10,95386.51,88,Rescindido,114463,729,Ninguno,2,0
20,Diaz-Gonzalez,Gonzalez Group,instalaciones,2025-03-20,80308.79,351,Prorrogado,96370,37,Cambio_Alcance,1,0
21,Soria-Benitez,Martinez PLC,software,2025-01-11,65624.3,319,Finalizado,78749,81,Modificaciones,0,0
22,Nuñez-Alvarez,"Gonzalez, Rodriguez and Ojeda",muebles,2025-01-15,85623.53,331,Rescindido,102748,478,Ninguno,3,1
23,"Rodriguez, Cabrera and Figueroa",Romero-Godoy,instalaciones,2025-02-11,28640.57,188,Finalizado,34368,121,Cambio_Alcance,0,0
24,"Maidana, Romero and Ruiz",Diaz-Quiroga,muebles,2025-02-16,90474.49,359,Prorrogado,108569,578,Cambio_Alcance,3,1
25,Sosa-Correa,Farias-Torres,bien consumo,2025-01-27,39108.35,126,Prorrogado,46930,184,Cambio_Alcance,3,0
26,Garcia LLC,"Rodriguez, Coronel and Romero",software,2025-02-11,98111.5,100,Prorrogado,117733,370,Modificaciones,2,0
27,"Luna, Sanchez and Diaz","Morales, Aguero and Ayala",bien consumo,2025-03-31,87984.5,41,Vigente,105581,68,Ninguno,2,0
28,Gomez Inc,Suarez-Torres,bien consumo,2025-02-04,69345.31,310,Vigente,83214,211,Ninguno,3,1
29,"Gonzalez, Fernandez and Alvarez",Herrera LLC,software,2025-02-10,75056.73,155,Vigente,90068,423,Imprevistos,1,0
30,"Rodriguez, Caceres and Fernandez",Ojeda-Silva,instalaciones,2025-04-02,66625.71,70,Vigente,79950,65,Ninguno,3,1
