ID_Transaccion,Monto,Fecha_Hora,ID_Usuario,Direccion_IP,Producto,Es_Fraudulenta
1,50.0,2024-03-10 10:00,user123,192.168.1.10,Laptop,0
2,1000.5,2024-03-10 10:05,guest456,10.0.0.5,Libro,0
3,25.0,2024-03-10 10:10,user789,192.168.1.10,Camiseta,0
4,150.75,2024-03-10 10:12,user123,172.16.0.1,Zapatos,0
5,8000.0,2024-03-10 10:15,fraudster01,1.2.3.4,Televisor,1
6,30.2,2024-03-10 10:20,user987,192.168.1.10,Auriculares,0
7,1200.0,2024-03-10 10:25,guest456,10.0.0.5,Mochila,0
8,75.99,2024-03-10 10:30,user123,192.168.1.10,Reloj,0
9,5000.0,2024-03-10 10:35,fraudster02,5.6.7.8,Smartphone,1
10,10.0,2024-03-10 10:40,user001,192.168.1.11,Cargador,0
11,60.0,2024-03-11 09:00,user123,192.168.1.10,Laptop,0
12,1100.0,2024-03-11 09:02,guest456,10.0.0.6,Libro,0
13,35.5,2024-03-11 09:05,user789,192.168.1.12,Camiseta,0
14,90.0,2024-03-11 09:10,user987,172.16.0.2,Zapatos,0
15,15000.0,2024-03-11 09:15,fraudster01,1.2.3.5,Televisor,1
16,40.75,2024-03-11 09:20,user001,192.168.1.11,Auriculares,0
17,1300.0,2024-03-11 09:25,guest456,10.0.0.5,Mochila,0
18,65.0,2024-03-11 09:30,user789,192.168.1.10,Reloj,0
19,7000.0,2024-03-11 09:35,fraudster02,5.6.7.9,Smartphone,1
20,20.0,2024-03-11 09:40,user001,192.168.1.11,Cargador,0
