ID_Transaccion,Monto,Fecha_Hora,ID_Usuario,Direccion_IP,Producto,Es_Fraudulenta
1,12335.53,2024-12-19 01:13:08.208044,bking,192.168.14.195,Zapatos,0
2,7772.2,2024-07-08 05:57:37.734370,dcombs,172.23.47.104,Zapatos,0
3,4337.05,2024-06-10 15:45:50.265376,angelapeterson,172.22.58.129,Libro,0
4,289.58,2025-01-26 15:37:35.523889,lauren27,203.109.140.101,Libro,0
5,1559.56,2025-01-28 19:20:14.472201,elizabeth34,128.84.149.108,Cargador,0
6,388.41,2024-07-02 03:35:39.073233,christina48,172.24.158.135,Auriculares,0
7,14317.57,2024-06-20 21:33:30.704072,beasleydustin,192.168.95.44,Auriculares,1
8,8569.79,2024-12-11 01:30:03.208433,janicekelley,206.146.68.108,Zapatos,0
9,3165.14,2025-03-02 03:43:34.468117,fowlereric,172.16.214.187,Cargador,0
10,3474.28,2024-11-18 19:33:54.294649,joshuathomas,172.20.209.203,Libro,0
11,317.62,2024-11-26 05:49:15.337226,kingkevin,203.76.190.128,Reloj,0
12,7663.17,2024-08-02 18:25:51.332160,gonzalezlinda,202.210.140.207,Camiseta,0
13,11492.07,2024-04-14 22:34:06.952535,sabrina94,192.168.69.117,Reloj,1
14,88.51,2024-07-11 02:55:35.253431,michaelfrye,192.168.217.2,Televisor,0
15,9496.03,2024-12-08 01:25:41.618515,fwilliams,172.21.38.144,Zapatos,0
16,1445.64,2024-10-13 02:48:11.376430,thompsonmatthew,192.168.90.106,Camiseta,0
17,1666.94,2024-09-13 02:55:17.429501,susanhall,10.36.163.207,Cargador,0
18,6654.56,2024-11-16 01:12:25.528582,christine88,172.28.229.180,Reloj,0
19,11701.22,2025-04-10 10:20:22.392755,ebonyrussell,10.192.223.221,Camiseta,0
20,12548.48,2024-08-27 01:48:39.341327,kevinmullins,201.151.244.189,Smartphone,0
21,4915.54,2024-09-30 07:22:59.371348,jillbarker,10.47.239.209,Auriculares,0
22,3338.26,2024-12-22 17:12:35.254372,hernandezbryan,17.59.102.95,Libro,0
23,3056.91,2024-06-25 19:45:57.329753,chasetanya,49.2.221.247,Libro,0
24,5972.99,2024-04-15 10:49:30.303635,tpatton,72.169.159.60,Reloj,0
25,292.02,2025-03-26 09:36:36.397931,allen12,172.28.226.186,Laptop,0
26,2584.76,2024-04-20 07:48:14.330940,jamesnorman,10.124.209.32,Camiseta,0
27,6353.56,2024-11-05 08:46:09.367148,castrolauren,172.21.98.124,Mochila,0
28,3829.91,2024-10-01 11:45:49.469012,peggy81,192.168.100.98,Camiseta,0
29,13983.29,2025-01-31 14:49:58.878092,johnwatts,172.18.209.230,Zapatos,0
30,1022.7,2024-12-20 06:45:55.805556,hensoncarlos,192.168.184.213,Zapatos,0
31,4639.7,2024-06-17 03:46:40.896400,sweber,69.0.6.128,Libro,0
32,8496.69,2025-03-28 17:33:34.163958,colleenlee,10.11.193.108,Camiseta,0
33,12884.21,2024-06-07 05:17:21.351302,jespinoza,27.106.140.188,Libro,0
34,5043.36,2025-02-10 09:22:10.354680,aduncan,166.160.8.232,Laptop,0
35,1847.47,2025-03-17 03:44:07.228322,qhood,172.17.163.208,Cargador,0
36,1665.79,2024-09-12 09:10:43.910328,igonzalez,192.168.46.54,Zapatos,0
37,2292.05,2025-04-05 18:30:55.516665,jack85,192.168.198.38,Auriculares,0
38,3971.81,2025-02-14 08:58:36.644228,anthonyjackson,164.13.161.249,Cargador,0
39,11121.82,2024-09-13 10:57:54.739171,wjoyce,10.115.70.246,Smartphone,0
40,12854.25,2025-01-18 19:52:27.271685,joseph14,192.168.84.76,Cargador,0
41,7237.48,2025-04-09 11:11:19.770993,emilyrios,182.83.182.253,Smartphone,0
42,5457.52,2024-08-18 22:29:17.222257,alexander25,107.121.230.213,Laptop,1
43,12683.58,2024-08-26 22:02:20.617731,jhorton,10.28.93.175,Libro,1
44,2372.14,2024-12-17 21:55:12.080567,smithsteven,144.166.249.241,Cargador,1
45,1164.63,2024-09-26 10:00:01.996595,steven88,94.89.79.248,Cargador,0
46,12648.76,2024-07-24 19:54:04.793456,william44,10.218.110.150,Cargador,0
47,13682.33,2024-06-22 10:42:07.457299,kroach,10.14.122.120,Zapatos,0
48,9246.92,2025-03-24 05:41:58.069981,serranomitchell,172.19.153.188,Camiseta,0
49,3120.29,2025-03-06 10:31:36.126664,vwu,198.219.141.93,Reloj,0
50,12094.71,2024-07-09 22:44:43.735270,casey47,172.30.80.211,Reloj,1
