ID_Transaccion,Fecha,Cuenta_Origen,Cuenta_Destino,Monto,Tipo_Transaccion,Ubicacion_IP,Dispositivo,Es_Fraudulenta
1,2024-10-12,ACC-627098,ACC-109523,291.8683266904494,Pago,112.142.151.46,Tablet,0
2,2024-07-11,ACC-528080,ACC-792061,3045.91557623942,Crédito,148.175.161.120,Tablet,0
3,2024-07-15,ACC-609074,ACC-275633,990.4456556764903,Pago,153.93.101.52,Computadora,0
4,2025-03-21,ACC-771003,ACC-154203,1368.5591255398056,Pago,218.186.35.25,Smartphone,0
5,2024-07-20,ACC-547306,ACC-488219,4680.402146117933,Pago,28.166.223.99,Computadora,0
6,2024-09-06,ACC-532683,ACC-822629,2215.8008207993807,Pago,62.184.56.193,Computadora,0
7,2024-09-08,ACC-463925,ACC-207723,418.44474676081705,Transferencia,35.155.111.170,Computadora,0
8,2024-05-11,ACC-161250,ACC-374808,4197.0078304614235,Crédito,185.1.241.224,Smartphone,0
9,2024-06-08,ACC-724980,ACC-966681,2714.076575845241,Pago,100.180.211.83,Smartphone,0
10,2024-10-28,ACC-524964,ACC-618776,4756.354847250802,Débito,68.61.240.215,Smartphone,0
11,2025-03-14,ACC-595649,ACC-463914,1491.4059524037907,Pago,69.177.161.104,Computadora,0
12,2024-08-20,ACC-152775,ACC-980568,1840.800600610511,Transferencia,44.171.152.37,Tablet,0
13,2024-10-06,ACC-232821,ACC-545796,469.3420587235702,Débito,116.252.127.103,Smartphone,0
14,2024-12-14,ACC-413892,ACC-775914,1792.1587233008572,Transferencia,223.57.211.102,Tablet,0
15,2025-01-10,ACC-120746,ACC-151656,4234.7238970581875,Pago,3.254.191.169,Tablet,0
16,2024-11-11,ACC-839181,ACC-800095,4567.097763918396,Transferencia,166.138.53.42,Tablet,0
17,2024-11-15,ACC-911074,ACC-466268,4714.373895336392,Pago,37.16.245.210,Smartphone,0
18,2025-01-31,ACC-676668,ACC-971135,4025.4769723964655,Pago,27.217.142.4,Computadora,0
19,2024-08-20,ACC-320077,ACC-678137,3282.124680014917,Débito,27.101.209.122,Smartphone,0
20,2024-09-30,ACC-595145,ACC-348385,1374.6703083364353,Transferencia,66.0.41.164,Tablet,0
21,2024-05-15,ACC-246643,ACC-482941,1881.779219749861,Pago,41.98.24.214,Computadora,0
22,2024-06-15,ACC-890835,ACC-950806,855.8474721473387,Pago,1.148.77.188,Smartphone,0
23,2024-05-20,ACC-726328,ACC-448798,3369.1827250989863,Débito,10.70.48.18,Computadora,0
24,2024-12-11,ACC-882192,ACC-512491,3883.9411366753257,Débito,5.162.215.15,Smartphone,0
25,2024-07-16,ACC-848245,ACC-183205,312.39249697636404,Débito,96.239.104.71,Computadora,0
26,2024-05-14,ACC-896131,ACC-207746,3547.0862493797863,Transferencia,49.17.67.148,Computadora,0
27,2024-06-11,ACC-712796,ACC-918319,2366.7029468374626,Débito,176.154.247.159,Tablet,0
28,2025-02-13,ACC-720302,ACC-699634,2704.1415780942143,Transferencia,190.231.211.2,Tablet,0
29,2024-12-06,ACC-393426,ACC-189638,4481.382162362727,Pago,157.98.203.237,Tablet,0
30,2024-09-27,ACC-104075,ACC-594616,4619.291601110354,Crédito,132.254.187.164,Smartphone,0
31,2024-03-30,ACC-461023,ACC-701975,3328.5642343691734,Débito,215.22.57.61,Smartphone,0
32,2024-09-17,ACC-835682,ACC-361940,3926.1059492870377,Débito,119.203.217.51,Computadora,0
33,2024-08-28,ACC-358245,ACC-476876,2900.3364834982854,Débito,14.179.248.85,Computadora,0
34,2025-02-23,ACC-625652,ACC-497656,4455.771620874636,Pago,173.117.112.178,Smartphone,0
35,2025-02-12,ACC-324080,ACC-360953,2724.710151157259,Débito,220.236.200.47,Tablet,0
36,2025-02-28,ACC-550580,ACC-708959,1844.113473706831,Débito,76.116.198.147,Computadora,0
37,2024-11-23,ACC-286281,ACC-129612,3434.7032261122026,Crédito,95.200.197.231,Smartphone,0
38,2024-10-26,ACC-537732,ACC-146899,1204.8837396088256,Crédito,133.81.41.128,Tablet,0
39,2024-07-08,ACC-347512,ACC-144912,1009.718570554441,Crédito,150.11.56.180,Computadora,0
40,2024-10-03,ACC-103884,ACC-219312,4797.813191794039,Débito,110.50.149.76,Computadora,0
41,2025-01-09,ACC-860801,ACC-783716,3199.86097920515,Débito,25.230.159.231,Tablet,0
42,2024-11-23,ACC-510336,ACC-693516,3449.5280474519627,Transferencia,66.42.179.151,Smartphone,0
43,2024-05-16,ACC-495779,ACC-274722,273.74303184469045,Crédito,92.124.134.198,Computadora,0
44,2025-01-10,ACC-694016,ACC-257217,4898.159231853019,Pago,217.79.238.59,Smartphone,0
45,2024-04-07,ACC-647246,ACC-431391,3620.653143954182,Débito,38.150.119.4,Tablet,0
46,2024-11-04,ACC-340071,ACC-689512,3926.5215405005442,Transferencia,170.223.115.158,Computadora,0
47,2024-08-11,ACC-426021,ACC-372708,2960.3338549379387,Transferencia,116.136.14.66,Smartphone,0
48,2024-08-31,ACC-953684,ACC-203668,339.1065846989576,Débito,102.62.117.106,Tablet,0
49,2024-06-22,ACC-174597,ACC-216494,2937.7388388136164,Débito,209.21.207.84,Computadora,0
50,2024-05-15,ACC-581405,ACC-827357,1925.8274578604605,Débito,172.153.223.231,Smartphone,0
