ID_Transaccion,Fecha,Cuenta_Origen,Cuenta_Destino,Monto,Tipo_Transaccion,Ubicacion_IP,Dispositivo,Es_Fraudulenta
1,2025-03-07,ACC-738943,ACC-540185,3338.8977436337555,Crédito,133.116.47.209,Computadora,0
2,2024-08-24,ACC-415054,ACC-791498,2291.1339716582634,Débito,116.67.141.87,Smartphone,0
3,2024-12-08,ACC-138181,ACC-114184,4185.924111491352,Débito,195.143.77.81,Computadora,0
4,2024-07-11,ACC-558112,ACC-942898,4809.983154244752,Crédito,148.176.125.149,Tablet,0
5,2025-03-12,ACC-432309,ACC-225545,3886.65491167864,Pago,79.239.76.90,Computadora,0
6,2025-02-06,ACC-547887,ACC-755154,3128.5868320957106,Pago,75.221.146.30,Smartphone,0
7,2024-08-18,ACC-762154,ACC-117648,3053.624834315617,Crédito,203.219.182.123,Tablet,0
8,2025-02-17,ACC-697148,ACC-317423,4254.876012839129,Pago,137.164.65.185,Smartphone,0
9,2024-12-28,ACC-667167,ACC-141762,2728.958640567927,Transferencia,76.42.161.194,Tablet,0
10,2024-07-10,ACC-615396,ACC-194852,4029.1064369316723,Débito,67.179.238.208,Computadora,0
11,2024-09-08,ACC-131239,ACC-367706,2568.9820131125166,Transferencia,176.201.138.40,Smartphone,0
12,2024-10-08,ACC-405846,ACC-559319,359.09916112092446,Pago,59.192.133.214,Computadora,0
13,2024-04-15,ACC-325829,ACC-447060,1950.5376940755684,Débito,194.94.116.222,Smartphone,0
14,2024-04-05,ACC-498562,ACC-131853,2249.9827404739185,Débito,111.155.131.235,Tablet,0
15,2024-06-16,ACC-640173,ACC-849313,751.0053626837552,Transferencia,155.177.37.109,Smartphone,0
16,2024-07-28,ACC-222177,ACC-532129,557.3568294866034,Pago,38.38.136.222,Computadora,0
17,2024-04-27,ACC-674805,ACC-721876,2700.551500801923,Pago,103.22.196.78,Computadora,0
18,2024-08-31,ACC-318942,ACC-786052,471.46100095260664,Crédito,117.238.39.36,Smartphone,0
19,2025-02-23,ACC-870765,ACC-712930,1549.5785810559157,Crédito,128.217.50.165,Smartphone,0
20,2024-11-14,ACC-688563,ACC-802683,3735.755031017226,Pago,202.0.98.8,Tablet,0
21,2024-03-31,ACC-485780,ACC-361744,4823.939288861505,Débito,117.92.152.208,Tablet,0
22,2025-03-07,ACC-225760,ACC-604879,3603.459373732046,Pago,220.9.157.229,Computadora,0
23,2025-01-26,ACC-942662,ACC-592160,4963.496464841707,Transferencia,50.175.92.192,Smartphone,0
24,2024-06-10,ACC-356315,ACC-963266,3506.772957833043,Crédito,57.132.37.250,Smartphone,0
25,2025-01-30,ACC-191005,ACC-315559,1504.2826297389213,Crédito,95.133.173.234,Tablet,0
26,2024-09-26,ACC-876343,ACC-823543,3376.6600755015415,Débito,208.225.205.195,Smartphone,0
27,2024-05-13,ACC-661005,ACC-286947,3525.675987724674,Pago,55.28.104.93,Tablet,0
28,2024-06-27,ACC-862242,ACC-189303,1890.04857385148,Transferencia,111.23.114.179,Smartphone,0
29,2024-03-31,ACC-370740,ACC-382089,137.6835605164756,Débito,83.58.15.97,Tablet,0
30,2025-01-26,ACC-741361,ACC-780004,3530.8389346386602,Crédito,31.49.188.158,Tablet,0
31,2025-03-05,ACC-442692,ACC-811655,157.415471613931,Transferencia,217.73.61.57,Tablet,0
32,2024-06-21,ACC-636747,ACC-814547,3174.3809863973524,Crédito,157.117.155.188,Smartphone,0
33,2024-03-25,ACC-481973,ACC-841034,859.9016192756476,Débito,94.202.49.172,Tablet,0
34,2024-12-20,ACC-280952,ACC-781624,2849.7374623528144,Pago,210.188.142.184,Smartphone,0
35,2024-10-23,ACC-771863,ACC-486459,2544.36947563397,Débito,75.115.250.227,Tablet,0
36,2025-03-15,ACC-804382,ACC-196058,116.89252941560373,Transferencia,99.182.207.143,Smartphone,0
37,2024-04-12,ACC-833891,ACC-374808,1846.1857941257622,Transferencia,34.221.150.227,Smartphone,0
38,2024-07-18,ACC-641940,ACC-321108,3025.4012786116987,Débito,188.246.24.156,Tablet,0
39,2024-12-18,ACC-916192,ACC-586778,4250.602431898959,Transferencia,166.35.32.171,Smartphone,0
40,2025-03-15,ACC-374028,ACC-892154,4448.77846349076,Débito,27.164.216.194,Computadora,0
41,2024-06-12,ACC-182326,ACC-121508,2445.0573516644554,Transferencia,64.115.70.174,Tablet,0
42,2025-01-11,ACC-227624,ACC-771839,3655.6913121322186,Crédito,113.26.60.202,Computadora,0
43,2025-03-11,ACC-623456,ACC-157440,1616.4501538406155,Transferencia,23.242.153.227,Computadora,0
44,2024-06-18,ACC-320898,ACC-580028,1743.8227085053543,Pago,48.236.3.138,Smartphone,0
45,2024-07-12,ACC-931933,ACC-111805,1012.5944199524531,Pago,13.10.243.194,Computadora,0
46,2024-11-02,ACC-364640,ACC-544697,2831.6431444665345,Pago,197.153.82.82,Computadora,0
