Monto,Descripcion,Fecha,Tipo_Transaccion,Dia_Semana,Es_Fin_Semana,Justificante,Tipo_Gasto
9410.08,Rem perspiciatis et ea sapiente ut occaecati dicta.,2025-02-21,Transferencia,Saturday,0,Ticket,Hospedaje
9594.72,Nam debitis possimus.,2025-03-25,Retiro,Sunday,0,Ticket,Alimentos
7046.8,Similique architecto consequuntur maiores nobis doloremque occaecati itaque.,2025-03-26,Transferencia,Sunday,0,Ticket,Alimentos
4493.61,Voluptates accusamus earum doloribus.,2025-02-07,Pago,Saturday,0,Ticket,Hospedaje
9261.87,Assumenda cumque ea minima.,2025-01-05,Pago,Monday,0,Ninguno,Hospedaje
1175.77,Eos exercitationem labore voluptates beatae.,2025-02-06,Retiro,Thursday,0,Ninguno,Hospedaje
8062.2,Distinctio dolores aliquam assumenda.,2025-01-01,Compra,Saturday,0,Recibo,Hospedaje
3132.52,Rem voluptatum ducimus iste.,2025-01-19,Compra,Friday,0,Recibo,Hospedaje
7360.59,Laborum consequatur alias optio nulla distinctio quia temporibus.,2025-02-18,Retiro,Thursday,0,Ticket,Alimentos
2773.22,Esse ipsa impedit ut.,2025-03-14,Transferencia,Tuesday,0,Ninguno,Transporte
8218.91,Vero exercitationem dolor esse reprehenderit.,2025-01-14,Pago,Thursday,0,Ticket,Hospedaje
6569.12,Nam aut iusto dicta.,2025-03-15,Compra,Sunday,0,Ninguno,Hospedaje
3832.05,Blanditiis perferendis excepturi aliquam sint.,2025-01-02,Pago,Thursday,0,Factura,Transporte
8517.98,Facilis porro placeat dolores dolorum necessitatibus sit tenetur.,2025-03-06,Transferencia,Friday,0,Recibo,Alimentos
1377.05,Natus consectetur esse facere.,2025-02-25,Pago,Thursday,0,Recibo,Otros
8041.85,Quis nostrum commodi facere veritatis cumque.,2025-02-03,Retiro,Monday,0,Ninguno,Transporte
9686.87,Consequatur autem porro repellat cupiditate quod voluptate.,2025-03-15,Transferencia,Friday,0,Ticket,Otros
2723.68,Dicta voluptatibus architecto esse mollitia.,2025-01-31,Pago,Friday,0,Recibo,Hospedaje
76.45,Voluptas facere in nulla.,2025-01-03,Pago,Saturday,0,Recibo,Otros
7101.05,Eaque repudiandae quae quia et maiores.,2025-03-23,Transferencia,Saturday,0,Ninguno,Otros
236.72,Cumque porro veniam autem cum.,2025-01-22,Pago,Wednesday,0,Ninguno,Otros
675.99,Quam minus dignissimos voluptatum ipsum dolore.,2025-01-06,Retiro,Tuesday,0,Ticket,Otros
5161.52,Quidem explicabo dicta illum tenetur.,2025-01-29,Transferencia,Saturday,0,Ninguno,Hospedaje
7442.34,Id ipsam minima odio saepe.,2025-03-16,Pago,Friday,0,Ticket,Transporte
4235.55,Sunt voluptatibus autem nihil ducimus molestiae nihil.,2025-02-22,Transferencia,Monday,0,Ninguno,Otros
9320.12,Quas dicta in magni sequi quis.,2025-03-15,Transferencia,Saturday,0,Ninguno,Otros
5029.35,Delectus architecto doloremque in id impedit sequi.,2025-02-14,Pago,Wednesday,0,Recibo,Otros
4280.98,Soluta consequuntur nisi vero suscipit aut.,2025-02-18,Pago,Sunday,0,Factura,Hospedaje
2742.48,Vel ad asperiores reprehenderit perspiciatis voluptatem.,2025-01-14,Compra,Monday,0,Ticket,Alimentos
2078.88,Explicabo ullam reprehenderit eligendi explicabo laudantium.,2025-01-09,Pago,Wednesday,0,Ticket,Otros
