ID_Transaccion,Monto,Tiempo_Transaccion,Tipo_Comercio,Pais,Es_Fraude
1,120.5,10,Tienda A,Argentina,0
2,25.0,15,Online,Argentina,0
3,1500.75,20,Joyería,Estados Unidos,1
4,50.99,25,Restaurante,Argentina,0
5,10.0,30,Online,Argentina,0
6,75.2,35,Tienda B,Argentina,0
7,3000.0,40,Electrónicos,Estados Unidos,1
8,18.95,45,Supermercado,Argentina,0
9,99.99,50,Tienda A,Argentina,0
10,5000.0,55,Cajero,Estados Unidos,1
11,110.0,60,Tienda A,Argentina,0
12,30.0,65,Online,Argentina,0
13,1600.0,70,Joyería,Estados Unidos,1
14,60.5,75,Restaurante,Argentina,0
15,15.5,80,Online,Argentina,0
16,80.1,85,Tienda B,Argentina,0
17,3500.0,90,Electrónicos,Estados Unidos,1
18,22.0,95,Supermercado,Argentina,0
19,110.0,100,Tienda A,Argentina,0
20,6000.0,105,Cajero,Estados Unidos,1
