Nombre_Medicamento,Principio_Activo,Presentacion,Laboratorio,Precio_Farmacia_A,Disponibilidad_Farmacia_A,Precio_Farmacia_B,Disponibilidad_Farmacia_B,Precio_Farmacia_C,Disponibilidad_Farmacia_C
mollitia occaecati,quam,Inyectable,Velazquez and Sons,68.13,No,465.94,No,107.91,Sí
beatae repellat,molestias,Inyectable,Sanchez and Sons,291.42,Sí,514.0,No,78.05,Sí
laboriosam consectetur,corrupti,Comprimidos,Leiva LLC,495.39,No,134.05,No,223.36,Sí
aspernatur assumenda,ipsa,Comprimidos,Ferreyra-Farias,115.6,Sí,434.23,No,262.97,Sí
labore doloremque,est,Comprimidos,Maldonado-Chavez,410.15,No,489.72,Sí,101.58,No
incidunt mollitia,sequi,Inyectable,"Sanchez, Herrera and Soria",487.76,Sí,413.35,No,263.46,No
sequi tenetur,tempora,Inyectable,"Caceres, Godoy and Medina",434.94,No,165.87,No,210.39,No
officia occaecati,officiis,Comprimidos,"Lopez, Martinez and Torres",150.39,Sí,225.36,Sí,230.87,No
eius delectus,pariatur,Comprimidos,Benitez-Gomez,128.34,Sí,454.41,No,80.65,No
repellendus aspernatur,sunt,Cápsulas,Rodriguez LLC,131.35,No,221.8,Sí,337.13,No
perspiciatis quidem,quasi,Jarabe,"Ponce, Paez and Ortiz",383.08,No,361.96,Sí,379.46,Sí
eum aliquam,est,Inyectable,"Perez, Flores and Gomez",195.73,No,241.36,Sí,453.44,No
enim cumque,deleniti,Cápsulas,"Gomez, Villalba and Martinez",265.61,No,67.51,Sí,366.5,Sí
quod sunt,libero,Jarabe,Carrizo and Sons,475.53,Sí,175.36,No,64.82,Sí
cum commodi,ipsum,Cápsulas,"Medina, Ruiz and Ledesma",340.91,No,509.12,No,60.26,Sí
officiis rerum,quod,Jarabe,Campos PLC,368.21,No,103.03,Sí,349.28,No
illum voluptas,autem,Cápsulas,Silva Group,350.14,No,346.75,Sí,206.48,Sí
quam cum,ipsa,Jarabe,"Leiva, Ledesma and Fernandez",337.28,No,229.64,No,327.29,Sí
accusantium pariatur,laudantium,Jarabe,Rios PLC,239.21,No,43.37,No,341.94,No
aut eius,temporibus,Inyectable,"Valdez, Lopez and Rios",307.61,Sí,166.69,No,371.4,No
velit ad,possimus,Inyectable,Carrizo-Juarez,325.43,No,187.23,Sí,269.22,Sí
expedita officiis,praesentium,Inyectable,"Rodriguez, Gomez and Gonzalez",50.04,Sí,325.53,Sí,478.83,No
numquam nobis,numquam,Comprimidos,Molina Inc,474.94,No,534.04,No,240.02,No
placeat laboriosam,illo,Comprimidos,"Flores, Perez and Gomez",483.66,No,52.08,No,372.04,No
minus nemo,sapiente,Jarabe,"Fernandez, Mendoza and Gutierrez",484.97,Sí,132.7,No,250.51,Sí
praesentium cumque,voluptates,Jarabe,Molina-Torres,50.84,No,393.02,Sí,259.98,No
quidem cumque,commodi,Inyectable,Paez PLC,61.95,Sí,175.59,Sí,298.76,No
incidunt at,nihil,Cápsulas,Mendez Group,193.6,No,82.05,No,78.09,Sí
quibusdam nostrum,consequuntur,Comprimidos,Alvarez Inc,205.73,No,67.29,Sí,248.09,No
quasi commodi,ipsum,Comprimidos,Muñoz PLC,398.34,Sí,450.27,Sí,340.52,No
