ID_Politico,Nombre_Apellido,Cargo,Partido_Politico,Periodo_Actividad,Declaracion_Patrimonial_Ultimo_Año,Incremento_Patrimonial_Ultimo_Año,Donaciones_Recibidas,Gastos_Campania,Vinculos_Empresariales,Denuncias_Previas,Es_Sospechoso
1,Delfina Thiago Romero Farias,Intendente,Occaecati Partido,2020-2022,383166.01804167894,77035.42966629857,16723.15317581729,62590.25552099221,No,1,0
2,Camila Facundo Alvarez Correa,Senador,Doloribus Partido,2020-2024,706615.7813955706,105060.33856722803,85561.42371054624,37082.36492406914,Declarados,0,0
3,Fausto Thiago Valentin Aguirre Ponce,Ministro,A Partido,2019-2020,859883.3777371442,69435.531599884,87234.6306656983,153144.14911015838,No,1,0
4,Julian Tiziano Romero Maidana,Intendente,Recusandae Partido,2022-2025,924226.8250156051,69539.73088896103,107204.35128536013,126325.48406471379,Declarados,0,0
5,Jazmin Victoria Quiroga,Senador,Voluptate Partido,2018-2021,746139.4218460916,141992.4945154579,36032.91498125783,16448.23697078447,Sí,0,0
6,Valentina Maria Paz Vera Nuñez,Concejal,Soluta Partido,2018-2020,355247.1310754226,107141.6001618208,66565.70086383677,101315.6525183286,Declarados,0,0
7,Santino Gabriel Gomez,Concejal,Aut Partido,2021-2023,393653.93641205184,108315.80040235262,42355.187856398436,35470.14051783892,Declarados,2,0
8,Dr(a). Juan Cruz Torres,Concejal,Exercitationem Partido,2019-2023,118682.22891156778,62570.620957881445,12143.06041735322,137525.63962064683,Sí,1,0
9,Julia Muñoz,Senador,Non Partido,2018-2023,784797.3799043586,82777.37408438188,131492.07405238374,104986.64311850339,Declarados,1,0
10,Miguel Angel Milagros Flores,Concejal,Quia Partido,2022-2020,138465.64545575622,136429.41655119683,109330.47067325117,157156.4586647243,No,0,0
11,Dante Sebastian Torres Aguirre,Senador,Laboriosam Partido,2019-2020,878187.1191424711,156485.22977797955,45219.458918820106,203344.5325048572,Declarados,2,0
12,Renata Julieta Coronel,Concejal,Eum Partido,2023-2020,206794.5530270849,124140.35053601154,89905.94893079795,81920.4841219578,Declarados,2,0
13,Dr(a). Thiago Ezequiel Martinez,Intendente,Laudantium Partido,2020-2021,254688.86092233183,181018.2472114208,30189.568220170866,240904.5049996066,Sí,1,0
14,Martina Vicente Medina Alvarez,Senador,In Partido,2022-2020,528873.8237490136,155081.02203680022,133535.49326936563,138552.28014101787,Declarados,2,0
15,Tomas Benjamin Tiziano Alvarez,Ministro,Perferendis Partido,2022-2023,764092.3736518681,90465.94745237962,17235.951504286546,158389.7917011491,No,1,0
16,Juan Ignacio Delfina Peralta Ledesma,Senador,Maiores Partido,2022-2024,225101.98467916992,117851.51816093421,575.5718261701348,173361.36957417688,Sí,1,0
17,Ignacio Gomez Rios,Senador,Quas Partido,2021-2023,496063.9675598486,181577.069230299,75301.22966087732,170015.56716582156,Declarados,1,0
18,Mateo Genaro Martinez,Concejal,Maxime Partido,2024-2023,534566.1469690943,104792.0110607646,87469.1735179304,132632.9783308149,Declarados,2,0
19,Zoe Valentina Vicente Garcia,Intendente,Sit Partido,2018-2025,291057.07750173216,156201.73699495767,86844.79804437066,112903.42986752404,Declarados,1,0
20,Dr(a). Benjamin Diaz,Concejal,Facere Partido,2020-2023,204002.53901256857,122202.62589749676,8176.789115673943,22907.671402570697,No,1,0
21,Simon Lara Gonzalez,Senador,Fuga Partido,2022-2020,852778.8306870756,87984.09026511663,47106.57103776487,15300.602872283138,No,0,0
22,Dr(a). Benjamin Godoy,Senador,Aperiam Partido,2024-2022,552219.0847864889,10459.548853838278,74879.84202619977,95910.68668786352,Declarados,1,0
23,Catalina Silva Gomez,Concejal,At Partido,2021-2025,112943.11238573768,56499.379867107025,32486.87784408613,90078.61375208624,Sí,1,0
24,Dr(a). Thiago Benjamin Valdez,Concejal,Doloremque Partido,2019-2020,822683.1711781934,191935.70620842892,130893.88282288445,103046.83716136162,No,0,0
25,Lucas Peralta Ponce,Diputado,Optio Partido,2022-2022,982714.4248731263,114441.34581815,13066.393419215105,43208.3682131656,Sí,0,0
26,Sr(a). Mateo Farias,Intendente,Expedita Partido,2023-2022,645333.5758728225,91098.84508474742,73107.66625080643,187160.38492884248,Declarados,2,0
27,Sr(a). Martina Diaz,Ministro,Qui Partido,2021-2022,553337.5483756636,183239.15638205683,103712.40862697281,215671.45954629735,Sí,1,0
28,Mateo Mateo Diaz Gonzalez,Senador,Ea Partido,2019-2020,890574.2767404655,96627.94525936217,39262.66502017237,235291.51248976839,Sí,2,0
29,Sofia Valentina Jazmin Alvarez,Senador,Delectus Partido,2019-2023,957265.1107161387,81520.62960435075,93636.11054962772,128166.9528447102,Declarados,2,0
30,Dr(a). Delfina Lopez,Concejal,Explicabo Partido,2021-2025,779083.2243122145,139827.7137875513,124407.77252135618,178207.76779010287,Sí,0,0
31,Manuel Rojas,Diputado,Voluptatem Partido,2023-2021,500907.63676085905,128166.40474663611,28550.546264257133,215332.26962460938,No,2,0
32,Delfina Mateo Joaquin Gomez Lopez,Diputado,Nostrum Partido,2019-2023,632999.2593982965,-1709.9978978918152,137583.08877372943,110389.86666243663,No,1,0
33,Lucía  Thiago Perez,Senador,Itaque Partido,2022-2021,730841.8285161994,67827.06864353029,83033.7798993537,84259.07076890665,Declarados,0,0
34,Valentina Jazmin Milo Navarro Martinez,Senador,Ducimus Partido,2020-2021,274846.2139016213,68128.86070489632,44884.800645159085,234813.89340483764,Sí,1,0
35,Catalina Alvarez,Intendente,Debitis Partido,2023-2021,502480.9289947942,44556.12881083619,64628.741307340606,133762.37225849755,Declarados,1,0
36,Josefina Mia Medina Godoy,Intendente,Libero Partido,2021-2025,846839.1382455565,79323.37053806327,46828.782567958195,129340.93278181071,Declarados,0,0
37,Dr(a). Abril Paez,Intendente,Voluptas Partido,2019-2020,689252.8136485987,53276.84943178606,108766.67398999742,52819.863175238985,Declarados,1,0
38,Dylan Ian Benjamin Guzman Flores,Diputado,Sapiente Partido,2022-2021,470083.66049066867,-163.62763220421766,119445.09951226982,35957.20349760562,Sí,0,0
39,Mora Ojeda,Concejal,Aliquid Partido,2018-2020,697026.2806132132,53091.62181867026,124940.60884779916,212105.64699604278,Declarados,1,0
40,Maximo Muñoz Morales,Intendente,Dolorem Partido,2021-2022,206400.17086521388,-31930.76310670585,147865.2374378612,157391.96228500432,No,0,0
41,Ciro Luisana Gomez Lopez,Concejal,Quod Partido,2019-2023,461347.84950838867,93946.46569360289,118692.64387450252,88197.90016466769,No,2,0
42,Catalina Luisana Godoy Martinez,Ministro,Minus Partido,2019-2024,813815.6841667508,163413.63723527797,90207.6106032845,56016.692173663956,No,1,0
43,Luciano Benjamin Francesca Perez Benitez,Diputado,At Partido,2018-2020,298457.90842298325,131321.7710886388,50883.04475876757,143319.34724071153,Declarados,0,0
44,Agustin Blanco,Concejal,Optio Partido,2021-2025,267365.3568016759,40098.510013527804,81689.31730661241,150140.62942267247,No,1,0
45,Zoe Valentina Alejo Rivero,Intendente,Quo Partido,2018-2023,955736.7939247882,-28232.198605672955,6160.225918560814,59678.46429881396,Declarados,1,0
46,Antonia Gomez,Concejal,Commodi Partido,2024-2021,288907.8666276076,537.3498063176885,111723.76132948697,214337.37949395375,Declarados,1,0
47,Maria Victoria Isabella Garcia Dominguez,Ministro,Molestias Partido,2019-2025,334826.7216851512,86372.58512370891,66893.33176381527,30223.44787740426,Declarados,0,0
48,Jazmin Bautista Perez Dominguez,Intendente,Consequuntur Partido,2023-2020,972654.3450139042,1764.270845758212,3003.484459828143,95462.34043994121,Sí,2,0
49,Abril Gael Alvarez,Senador,Voluptate Partido,2021-2024,761237.7132385231,85993.27782124188,9376.041226561621,173292.2593030053,Sí,2,0
50,Renata Perez,Intendente,Vel Partido,2023-2024,729636.8797211754,7899.756190974731,58119.969573263494,75788.88731660816,No,2,0
51,Dr(a). Zoe Jazmin Romero,Senador,Doloremque Partido,2021-2025,867633.7454691231,162230.9673690182,87513.22785276527,208642.04674750523,No,0,0
52,Giuliana Mateo Ezequiel Campos Lopez,Concejal,Aliquid Partido,2020-2022,204240.77401311486,49317.86821011493,69630.592342819,187568.27838409683,Declarados,2,0
53,Benjamin Milagros Fernandez,Ministro,Voluptas Partido,2019-2023,735360.6129220064,11387.656486122767,92880.64759382323,199365.4826915522,Declarados,0,0
54,Dr(a). Francisco Toledo,Intendente,Sit Partido,2018-2021,553319.748395415,153081.5450617654,72044.13881870337,38585.56861041191,Sí,1,0
55,Facundo Santino Nicolas Silva Godoy,Ministro,Commodi Partido,2023-2021,846235.5762557259,35709.74120136269,99255.57682220201,43731.3107189303,Declarados,1,0
