ID_Politico,Nombre_Apellido,Cargo,Partido_Politico,Periodo_Actividad,Declaracion_Patrimonial_Ultimo_Año,Incremento_Patrimonial_Ultimo_Año,Donaciones_Recibidas,Gastos_Campania,Vinculos_Empresariales,Denuncias_Previas,Es_Sospechoso
1,Luciano Juan Cruz Luna,Concejal,Culpa Partido,2022-2024,2262148.27,0.4,127020.93833068629,22471.283502650535,Sí,0,0
2,Dr(a). Santiago Benjamin Lopez,Ministro,Quibusdam Partido,2018-2024,3510216.95,0.1,131565.2100003683,249770.30559998003,Declarados,1,0
3,Mateo Valentin Agostina Olivera Fernandez,Senador,Exercitationem Partido,2019-2020,8721608.10,0.1,3477.700421128277,83343.88874453057,Sí,2,0
4,Mia Jazmin Morales Velazquez,Concejal,Velit Partido,2021-2022,3650300.33,0.3,79394.67570976244,247434.66491979113,Declarados,1,0
5,Lautaro Gabriel Carrizo Gutierrez,Concejal,Aperiam Partido,2020-2025,8765736.99,0.2,107872.30938003633,29834.036593106666,No,0,0
6,Miguel Angel Molina,Concejal,Unde Partido,2021-2023,4204316.25,0.3,90607.68562835187,45964.78470241276,No,2,0
7,Dr(a). Lautaro Romero,Intendente,Unde Partido,2019-2021,1198886.64,0.3,110227.03080311262,68136.49532209703,No,0,0
8,Dr(a). Carmela Suarez,Senador,Quisquam Partido,2018-2022,6883901.30,0.3,81580.48323089148,188978.6336505046,Sí,2,0
9,Benjamin Muñoz Fernandez,Intendente,Possimus Partido,2020-2025,5754806.09,0.1,125832.38019561689,229173.56068159256,No,2,0
10,Sofia Isabella Martinez,Intendente,Nemo Partido,2024-2021,4017018.31,0.1,106706.30743467552,184483.44186237833,Declarados,1,0
11,Thiago Valentin Thiago Rodriguez,Ministro,Sint Partido,2020-2024,7579075.89,0.2,140246.83150718187,80328.8509655998,No,1,0
12,Valentina Amparo Moreno Diaz,Senador,Aspernatur Partido,2024-2021,7779486.83,0.1,121243.26613029883,58929.84950717301,Sí,0,0
13,Matilda Escobar,Ministro,Dolores Partido,2024-2022,9959776.03,0.2,116786.38963128584,106317.64600473158,Declarados,2,0
14,Zoe Maria Victoria Fernandez Medina,Ministro,Placeat Partido,2023-2023,6264595.53,0.3,131132.3887522179,200226.2332326635,No,1,0
15,Valentino Gonzalez,Diputado,Explicabo Partido,2019-2021,2766799.78,0.1,17567.361167151845,37833.6739126746,Sí,0,0
16,Alma Valentina Flores Lopez,Concejal,Aperiam Partido,2021-2022,1778928.14,0.3,9101.4356293665,206869.19900332534,Sí,0,0
17,Felipe Rodriguez,Diputado,Porro Partido,2023-2021,3797223.80,0.3,39281.01553930099,176657.35029175173,No,2,0
18,Morena Garcia Fernandez,Senador,Tempora Partido,2024-2022,3223186.13,0.1,39260.47496802533,168164.0536082983,Sí,0,0
19,Jeremias Camila Sanchez Ferreyra,Intendente,Recusandae Partido,2022-2025,2286558.37,0.3,93754.31429105629,205598.13908218668,Sí,1,1
20,Tomas Fernandez Gutierrez,Concejal,Deserunt Partido,2021-2020,3372602.88,0.4,2813.8736604120586,26739.861561307778,Sí,0,0
21,Juan Ignacio Martinez,Diputado,Consequatur Partido,2020-2021,6659619.56,0.2,138747.5066028817,81303.07960987033,Declarados,2,0
22,Ignacio Gimenez Perez,Diputado,Ex Partido,2018-2022,572429.16,0.4,110760.1752192349,71163.00226722816,Declarados,2,0
23,Pilar Ledesma Rodriguez,Diputado,Maiores Partido,2018-2023,6232646.20,0.2,18153.8540898881,56532.45315784012,No,2,0
24,Pedro Thiago Nicolas Rodriguez Benitez,Senador,Labore Partido,2021-2025,9164186.18,0.1,41086.61502841029,62346.72441214718,Declarados,1,0
25,Valentin Muñoz,Senador,Consequatur Partido,2022-2021,6351470.42,0.1,149776.245657287,213617.63997097686,Declarados,1,0
26,Constantino Bruno Paz Diaz,Ministro,Eaque Partido,2021-2021,208847.94,0.4,72463.75743991937,183831.62038496233,Declarados,2,0
27,Malena Peralta,Senador,Libero Partido,2021-2020,7505522.27,0.1,47152.853088602045,20060.245435463483,Declarados,0,0
28,Dr(a). Isabella Cardozo,Intendente,Voluptatibus Partido,2019-2025,3590044.52,0.3,57545.67074009575,137751.08997038746,Declarados,2,0
29,Matias Alma Benitez,Ministro,Numquam Partido,2023-2020,277662.16,0.1,82686.1542868495,109510.28340708071,Sí,0,0
30,Alexander Lorenzo Roldan Ortiz,Diputado,Iure Partido,2020-2023,3741183.03,0.1,39724.9351757786,95138.49263160805,Sí,2,0
