ID_Rendicion,ID_Empleado,Fecha,Concepto,Monto,Detalle,Documento_Adjunto,Es_Fraude
1,103,2025-02-25,Material de Oficina,1114.86,reintegro_gastos,Recibo,0
2,103,2025-02-01,Viáticos,-591.41,Viáticos,Recibo,0
3,102,2025-03-28,Gastos de Representación,5805.27,proveedores,Factura,0
4,109,2025-01-28,Viáticos,8477.72,Viáticos,Recibo,0
5,105,2025-02-09,Otros,3378.89,Otros,Recibo,1
6,104,2025-03-11,Otros,4295.23,reintegro_gastos,Recibo,0
7,105,2025-01-26,Viáticos,1187.38,reintegro_gastos,Ticket,0
8,110,2025-04-07,Material de Oficina,2614.95,Material de Oficina,Ticket,0
9,104,2025-02-01,Viáticos,-163.63,Gastos de Representación,Factura,0
10,107,2025-02-07,Gastos de Representación,8381.34,reintegro_gastos,Ticket,0
11,105,2025-03-11,Otros,9529.03,proveedores,Factura,0
12,109,2025-02-24,Viáticos,6087.31,Material de Oficina,Ticket,0
13,107,2025-01-02,Gastos de Representación,7086.48,Gastos de Representación,Factura,0
14,103,2025-01-15,Gastos de Representación,5230.19,Viáticos,Ticket,0
15,102,2025-02-06,Otros,677.81,Viáticos,Factura,0
16,106,2025-01-30,Otros,9999.33,Otros,Recibo,1
17,101,2025-03-23,Gastos de Representación,3340.43,proveedores,Factura,0
18,104,2025-01-04,Viáticos,5973.37,reintegro_gastos,Factura,0
19,106,2025-03-01,Viáticos,2141.36,reintegro_gastos,Factura,0
20,108,2025-04-04,Viáticos,6633.80,Material de Oficina,Ticket,0
21,110,2025-02-14,Otros,6431.14,Material de Oficina,Recibo,0
22,107,2025-03-19,Viáticos,7622.57,Material de Oficina,Ticket,0
23,106,2025-02-28,Gastos de Representación,9624.66,proveedores,Factura,0
24,103,2025-02-05,Otros,7494.70,Otros,Factura,1
25,100,2025-01-03,Otros,4937.20,Viáticos,Factura,0
26,101,2025-02-04,Otros,755.66,Gastos de Representación,Ticket,0
27,104,2025-01-12,Gastos de Representación,4172.32,Viáticos,Factura,0
28,105,2025-03-07,Otros,4240.54,Gastos de Representación,Factura,0
29,100,2025-02-01,Otros,6143.84,Viáticos,Factura,0
30,104,2025-03-30,Viáticos,8076.81,proveedores,Recibo,0
