ID_Rendicion,ID_Empleado,Fecha,Concepto,Monto,Detalle,Documento_Adjunto,Es_Fraude
1,100,2025-01-24,Material de Oficina,311.5946859919346,Otros,Factura,0
2,105,2025-04-01,Gastos de Representación,385.99762595917457,Material de Oficina,Factura,0
3,108,2025-02-05,Material de Oficina,274.1766272729951,Viáticos,Factura,0
4,108,2025-02-23,Otros,216.66373393768805,proveedores,Factura,0
5,109,2025-01-18,Viáticos,89.92667807186587,Material de Oficina,Recibo,0
6,105,2025-03-10,Gastos de Representación,485.66396074072736,Material de Oficina,Factura,0
7,100,2025-01-29,Material de Oficina,177.61289151780468,reintegro_gastos,Recibo,0
8,107,2025-01-11,Otros,71.71735983982788,proveedores,Ticket,0
9,109,2025-01-04,Material de Oficina,127.12626355000225,Material de Oficina,Recibo,0
10,102,2025-03-24,Otros,406.5527123501912,reintegro_gastos,Ticket,0
11,103,2025-01-31,Gastos de Representación,306.5932133670885,Otros,Ticket,0
12,108,2025-01-11,Otros,222.63411701068267,reintegro_gastos,Factura,0
13,105,2025-01-19,Viáticos,130.1650827167454,Otros,Recibo,0
14,101,2025-02-17,Viáticos,178.50795094743017,proveedores,Factura,0
15,108,2025-01-08,Otros,366.69564555976456,Viáticos,Recibo,0
16,107,2025-01-12,Viáticos,372.52999670863835,Viáticos,Ticket,0
17,103,2025-02-24,Gastos de Representación,497.14698399319997,Material de Oficina,Factura,0
18,106,2025-02-19,Gastos de Representación,222.1480538071603,reintegro_gastos,Recibo,0
19,107,2025-03-11,Gastos de Representación,29.30386430536867,reintegro_gastos,Recibo,0
20,109,2025-02-13,Material de Oficina,465.56776613682524,Gastos de Representación,Recibo,0
21,107,2025-02-14,Material de Oficina,273.7576698171506,reintegro_gastos,Ticket,0
22,108,2025-03-30,Otros,84.86485621404968,Material de Oficina,Factura,0
23,107,2025-02-25,Gastos de Representación,182.86020309235698,reintegro_gastos,Ticket,0
24,103,2025-02-20,Gastos de Representación,137.79295366612115,proveedores,Recibo,0
25,110,2025-02-09,Material de Oficina,215.9136585611319,proveedores,Factura,0
26,109,2025-02-13,Gastos de Representación,487.51719278094777,reintegro_gastos,Recibo,0
27,104,2025-02-17,Viáticos,198.45799527335572,proveedores,Factura,0
28,109,2025-02-19,Material de Oficina,231.51410215135476,Viáticos,Factura,0
29,110,2025-02-22,Material de Oficina,197.71599382226623,Gastos de Representación,Ticket,0
30,102,2025-01-24,Gastos de Representación,397.3110442768186,Viáticos,Factura,0
