Tipo,Descripcion,Monto,Fecha,Estado
Denuncia de Corrupción,Denuncia de malversación de fondos,72.77,2024-09-14,Pendiente
Denuncia de Corrupción,Retiro de gran cantidad en efectivo,19.12,2024-12-23,Pendiente
Denuncia de Corrupción,Retiro de gran cantidad en efectivo,215.85,2024-05-20,Rechazado
Denuncia de Corrupción,Transferencia inusual a cuenta desconocida,255.53,2025-02-21,Rechazado
Transacción Bancaria,Compra sospechosa online,919.04,2024-09-11,Pendiente
Denuncia de Corrupción,Retiro de gran cantidad en efectivo,745.8,2025-03-31,Pendiente
Transacción Bancaria,Denuncia de soborno a funcionario público,123.95,2024-07-22,Rechazado
Transacción Bancaria,Retiro de gran cantidad en efectivo,430.45,2024-10-02,Rechazado
Denuncia de Corrupción,Transferencia inusual a cuenta desconocida,536.24,2025-04-03,Rechazado
Transacción Bancaria,Transferencia a paraíso fiscal,963.65,2025-02-12,Pendiente
Denuncia de Corrupción,Denuncia de malversación de fondos,693.24,2024-04-17,Rechazado
Transacción Bancaria,Transferencia a paraíso fiscal,688.45,2024-10-17,Pendiente
Denuncia de Corrupción,Transferencia a paraíso fiscal,322.29,2025-01-26,Rechazado
Transacción Bancaria,Denuncia de soborno a funcionario público,541.35,2024-08-01,Pendiente
Denuncia de Corrupción,Denuncia de malversación de fondos,828.26,2025-01-15,Pendiente
Transacción Bancaria,Transferencia a paraíso fiscal,321.04,2025-01-14,Pendiente
Denuncia de Corrupción,Compra sospechosa online,776.71,2024-05-01,Rechazado
Denuncia de Corrupción,Denuncia de malversación de fondos,833.39,2024-04-12,Rechazado
Denuncia de Corrupción,Compra sospechosa online,59.09,2024-09-14,Rechazado
Denuncia de Corrupción,Compra sospechosa online,40.38,2025-02-26,Rechazado
Denuncia de Corrupción,Denuncia de soborno a funcionario público,182.63,2024-10-02,Rechazado
Transacción Bancaria,Transferencia a paraíso fiscal,514.1,2024-05-30,Pendiente
Denuncia de Corrupción,Compra sospechosa online,311.43,2024-07-04,Pendiente
Transacción Bancaria,Transferencia a paraíso fiscal,203.12,2024-09-22,Pendiente
Transacción Bancaria,Denuncia de malversación de fondos,22.46,2024-11-10,Pendiente
Denuncia de Corrupción,Transferencia inusual a cuenta desconocida,938.8,2024-05-18,Rechazado
Transacción Bancaria,Denuncia de soborno a funcionario público,83.82,2024-12-23,Rechazado
Denuncia de Corrupción,Transferencia a paraíso fiscal,107.94,2025-02-08,Pendiente
Transacción Bancaria,Compra sospechosa online,879.26,2024-04-17,Pendiente
Denuncia de Corrupción,Denuncia de soborno a funcionario público,648.52,2025-03-26,Rechazado
